#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2013-07-26T09:44:39 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)	
#INFO	-ref=VIZ51f244503a49	
#INFO	-out.max=unlimited	
#INFO	queryParameters=29	
#-oc.form=sexa
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-nav=cat:VIII/15&tab:{VIII/15/pkscat90}&tab:{VIII/15/refs}&key:source=VIII/15&HTTPPRM:&&-ref=VIZ51f244503a49&-file=.&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=dec&-c.r=  2&-c.geom=r&-order=I&-out.form=verb&-out=Bname&-out=Alias&-out=RAB1950&-out=DEB1950&-out=Ident&-out=z&-out=S80&-out=S178&-out=S408&-out=S635&-out=S1410&-out=S2700&-out=S5000&-out=Jname&-out=errPos&-out=r_z&-out=Ref&-out=BibCode&-out=Authors&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=unlimited&-out.form=Tab-Separated-Values&-c.eq=J2000&-c.u=arcmin&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VIII/15/pkscat90,VIII/15/refs
#-order=I
#-out=Bname
#-out=Alias
#-out=RAB1950
#-out=DEB1950
#-out=Ident
#-out=z
#-out=S80
#-out=S178
#-out=S408
#-out=S635
#-out=S1410
#-out=S2700
#-out=S5000
#-out=Jname
#-out=errPos
#-out=r_z
#-out=Ref
#-out=BibCode
#-out=Authors
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_8015
#Name: VIII/15
#Title: Parkes Radio Sources Catalogue (PKSCAT90) (Wright+ 1990)
#Coosys	B1950:	eq_FK4 B1950
#Table	VIII_15_pkscat90:
#Name: VIII/15/pkscat90
#Title: The Catalogue
#Column	_RAJ2000	(A10)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(A9)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Bname	(a10)	B1950 source name	[ucd=meta.id;meta.main]
#Column	Alias	(a7)	Alias/other catalogue names	[ucd=meta.id]
#Column	RAB1950	(A10)	Right Ascension B1950.0 (hours)	[ucd=pos.eq.ra;meta.main]
#Column	DEB1950	(A9)	Declination B1950.0 (degrees)	[ucd=pos.eq.dec;meta.main]
#Column	Ident	(A4)	Identification of source (1)	[ucd=src.class]
#Column	z	(F6.3)	? Redshift (reference in r_z)	[ucd=src.redshift]
#Column	S80	(F8.3)	? Flux density at 80 MHz	[ucd=phot.flux.density;em.radio.20-100MHz]
#Column	S178	(F8.3)	? Flux density at 178 MHz	[ucd=phot.flux.density;em.radio.100-200MHz]
#Column	S408	(F8.3)	? Flux density at 408 MHz	[ucd=phot.flux.density;em.radio.200-400MHz]
#Column	S635	(F8.3)	? Flux density at 635 MHz	[ucd=phot.flux.density;em.radio.400-750MHz]
#Column	S1410	(F8.3)	? Flux density at 1410 MHz (21cm)	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	S2700	(F8.3)	? Flux density at 2700 MHz (11cm)	[ucd=phot.flux.density;em.radio.1500-3000MHz]
#Column	S5000	(F8.3)	? Flux density at 5000 MHz (6cm)	[ucd=phot.flux.density;em.radio.3-6GHz]
#Column	Jname	(a11)	J2000 Name	[ucd=meta.id]
#Column	errPos	(F5.2)	? positional accuracy in arcsec. (to be read as "better than")	[ucd=stat.error]
#Column	r_z	(a20)	Comma-separated references for z (see file refs.dat)	[ucd=meta.ref]
_RAJ2000	_DEJ2000	Bname	Alias	RAB1950	DEB1950	Ident	z	S80	S178	S408	S635	S1410	S2700	S5000	Jname	errPos	r_z
00 15 24.8	-38 04 31	B0012-383 	00-35  	00 12 54.3	-38 21 12	X   	      	  19.000	        	   4.870	        	   1.320	   0.650	   0.340	J0015-3804 	20.00	
00 15 00.8	-39 12 39	B0012-394 	       	00 12 30.3	-39 29 20	SC  	      	        	        	        	        	        	   0.230	   0.150	J0015-3912 	20.00	
00 14 53.6	-53 43 51	B0012-540 	       	00 12 25.3	-54 00 32	Xg  	      	        	        	   0.970	        	        	   0.170	        	J0014-5343 	20.00	
00 15 20.8	-69 50 49	B0012-701 	       	00 12 58.4	-70 07 30	Xg  	      	        	        	   1.460	        	        	   0.390	   0.180	J0015-6950 	20.00	
00 14 25.8	-73 38 43	B0012-739 	       	00 12 05.3	-73 55 24	Xs  	      	        	        	   0.980	        	        	   0.190	        	J0014-7338 	20.00	
00 16 11.1	-00 15 13	B0013-005 	       	00 13 37.4	-00 31 53	*   	      	  10.000	        	   1.090	        	   0.800	   0.800	   0.650	J0016-0015 	 0.15	
00 16 19.5	-14 30 13	B0013-147 	       	00 13 46.9	-14 46 53	Q?  	      	  19.000	        	   2.980	        	   0.800	   0.420	   0.250	J0016-1430 	20.00	
00 16 00.6	-19 29 16	B0013-197 	OB-123 	00 13 28.4	-19 45 56	Xs  	      	        	        	   2.210	        	        	   0.480	   0.270	J0016-1929 	20.00	
00 16 05.7	-23 43 52	B0013-240 	       	00 13 33.8	-24 00 32	S   	      	        	        	        	        	        	   0.250	   0.230	J0016-2343 	20.00	
00 15 33.5	-30 35 17	B0013-308 	       	00 13 02.2	-30 51 58	Xs  	      	        	        	        	        	        	   0.150	        	J0015-3035 	20.00	
00 16 16.3	-31 23 29	B0013-316 	       	00 13 45.2	-31 40 09	E   	      	        	        	   1.360	        	        	   0.240	        	J0016-3123 	20.00	
00 16 07.0	-42 16 45	B0013-425 	       	00 13 37.2	-42 33 25	Xs  	      	        	        	   1.270	        	        	   0.160	        	J0016-4216 	20.00	
00 15 26.6	-61 56 47	B0013-622 	       	00 13 00.7	-62 13 28	Xg  	      	        	        	        	        	        	   0.170	        	J0015-6156 	20.00	
00 16 02.4	-63 10 10	B0013-634 	00-61  	00 13 37.2	-63 26 50	Xs  	      	        	        	   6.900	        	   1.900	   0.820	   0.450	J0016-6310 	20.00	
00 17 07.6	-12 56 21	B0014-132 	       	00 14 34.9	-13 13 01	Xs  	      	        	        	   3.120	        	        	   0.610	   0.350	J0017-1256 	20.00	
00 17 01.7	-20 59 32	B0014-212 	OB-224 	00 14 29.7	-21 16 12	Xs  	      	        	        	   0.850	        	        	   0.240	   0.150	J0017-2059 	20.00	
00 17 26.5	-30 58 06	B0014-312 	       	00 14 55.6	-31 14 46	Xs  	      	        	        	        	        	        	   0.150	   0.150	J0017-3058 	20.00	
00 17 18.5	-36 42 36	B0014-369 	       	00 14 48.2	-36 59 16	Xs  	      	        	        	        	        	        	   0.170	   0.060	J0017-3642 	20.00	
00 16 37.2	-38 26 46	B0014-387 	       	00 14 07.0	-38 43 26	D   	      	   8.000	        	   2.220	        	   0.980	   0.540	   0.280	J0016-3826 	20.00	
00 17 37.7	+18 09 23	B0015+178 	4C17.05	00 15 02.4	+17 52 43	Q?  	      	  13.000	   5.800	   3.270	        	   0.900	   0.500	   0.280	J0017+1809 	20.00	
00 18 15.7	+21 41 17	B0015+214 	4C21.02	00 15 40.0	+21 24 38	Xs  	      	        	   3.600	        	   1.100	   0.700	   0.500	   0.280	J0018+2141 	20.00	
00 17 51.1	-22 22 31	B0015-226 	OB-225 	00 15 19.3	-22 39 11	Xs  	      	        	        	        	        	        	   0.170	        	J0017-2222 	20.00	
00 17 51.2	-32 19 55	B0015-326 	       	00 15 20.5	-32 36 35	Xs  	      	        	        	        	        	        	   0.080	        	J0017-3219 	20.00	
00 19 25.6	-01 04 51	B0016-013 	       	00 16 51.9	-01 21 30	Xs  	      	        	        	        	        	        	   0.110	        	J0019-0104 	20.00	
00 18 47.5	-02 33 03	B0016-028 	       	00 16 14.0	-02 49 42	Xs  	      	        	        	        	        	        	   0.100	        	J0018-0233 	20.00	
00 19 32.7	-04 35 54	B0016-048 	4C-4.01	00 16 59.4	-04 52 33	X   	      	   7.000	   4.200	   2.300	        	   0.600	   0.320	   0.160	J0019-0435 	20.00	
00 18 58.8	-10 22 43	B0016-106 	00-18  	00 16 26.0	-10 39 22	X   	      	  16.000	        	   3.550	        	   0.900	   0.550	   0.250	J0018-1022 	20.00	
00 19 19.7	-12 09 57	B0016-124 	       	00 16 47.1	-12 26 36	Xs  	      	        	        	   1.380	        	        	   0.280	   0.200	J0019-1209 	20.00	
00 18 51.4	-12 42 34	B0016-129 	00-17  	00 16 18.8	-12 59 13	Xs  	      	  16.000	        	   6.870	        	   2.300	   1.190	   0.670	J0018-1242 	 0.50	
00 18 49.0	-51 14 51	B0016-515 	       	00 16 21.7	-51 31 31	G   	      	        	        	   2.170	        	        	   0.550	   0.270	J0018-5114 	20.00	
00 18 55.2	-76 43 04	B0016-769 	       	00 16 43.7	-76 59 44	Xs  	      	        	        	        	        	   0.800	   0.330	   0.170	J0018-7643 	20.00	
00 19 46.5	+02 58 08	B0017+026 	       	00 17 12.5	+02 41 29	X   	      	        	        	        	        	        	   0.140	        	J0019+0258 	20.00	
00 20 25.3	+15 41 27	B0017+154 	3C9    	00 17 50.0	+15 24 48	Q   	 2.012	  32.000	  16.300	   7.790	        	   2.100	   1.100	   0.510	J0020+1540 	 0.50	sbb77,s65a
00 19 37.7	+20 21 46	B0017+200 	       	00 17 02.0	+20 05 07	Xs  	      	        	        	        	        	        	   0.380	   0.520	J0019+2021 	20.00	
00 19 39.4	+26 02 52	B0017+257 	4C25.01	00 17 03.0	+25 46 13	Q   	 0.284	        	   2.600	        	   1.300	   0.700	        	        	J0019+2602 	20.00	
00 20 16.3	+00 04 13	B0017-002 	       	00 17 42.5	-00 12 26	Xs  	      	        	        	        	        	        	   0.100	        	J0020+0004 	20.00	
00 20 20.5	-02 32 57	B0017-028 	4C-2.02	00 17 47.0	-02 49 36	Xs  	      	  13.000	   4.000	        	        	        	   0.250	        	J0020-0232 	20.00	
00 20 26.8	-20 14 28	B0017-205 	ON-230 	00 17 55.1	-20 31 07	Xs  	      	   5.000	        	   1.960	        	        	   0.470	   0.240	J0020-2014 	20.00	
00 20 22.1	-20 28 31	B0017-207 	ON-230 	00 17 50.4	-20 45 10	Xs  	      	        	        	   1.250	        	        	   0.230	   0.130	J0020-2028 	20.00	
00 19 43.6	-30 31 17	B0017-307 	       	00 17 13.0	-30 47 56	Q   	      	        	        	        	        	        	   0.340	   0.330	J0019-3031 	20.00	
00 19 52.9	-31 20 30	B0017-316 	       	00 17 22.5	-31 37 09	Xs  	      	        	        	   0.820	        	        	   0.170	        	J0019-3120 	20.00	
00 20 10.1	-32 06 37	B0017-323 	       	00 17 39.8	-32 23 16	X   	      	        	        	   0.900	        	        	   0.180	        	J0020-3206 	20.00	
00 19 47.9	-36 01 21	B0017-363 	       	00 17 18.1	-36 18 00	Xs  	      	        	        	   0.900	        	        	   0.180	        	J0019-3601 	20.00	
00 20 01.9	-40 51 02	B0017-411 	       	00 17 32.9	-41 07 41	Xs  	      	        	        	   0.800	        	        	   0.180	   0.130	J0020-4051 	20.00	
00 19 49.8	-41 20 07	B0017-416 	       	00 17 20.8	-41 36 46	Xs  	      	        	        	   0.830	        	        	   0.180	   0.090	J0019-4120 	20.00	
00 20 22.7	-48 47 07	B0017-490 	       	00 17 55.3	-49 03 46	Q?  	      	        	        	   2.390	        	        	   0.530	   0.350	J0020-4847 	10.00	
00 19 41.1	-49 21 26	B0017-496 	       	00 17 13.6	-49 38 05	Xs  	      	        	        	   1.280	        	        	   0.230	        	J0019-4921 	20.00	
00 20 09.9	-70 57 53	B0017-712 	       	00 17 52.3	-71 14 32	Xg  	      	        	        	        	        	        	   0.230	        	J0020-7057 	20.00	
00 21 20.2	+24 27 51	B0018+241 	4C24.01	00 18 43.8	+24 11 13	Xs  	      	   4.000	   3.800	        	   1.200	   0.900	   0.600	   0.360	J0021+2427 	20.00	
00 21 25.4	-00 55 40	B0018-012 	4C-1.01	00 18 51.7	-01 12 18	Xs  	      	   6.000	   3.300	   2.020	   1.500	   1.100	   0.660	   0.330	J0021-0055 	20.00	
00 20 50.4	-08 57 58	B0018-092 	NRAO 20	00 18 17.6	-09 14 37	Xs  	      	  11.000	        	   3.100	        	   0.700	   0.320	   0.140	J0020-0857 	20.00	
00 20 45.9	-11 21 09	B0018-116 	       	00 18 13.3	-11 37 48	Xs  	      	        	        	   0.900	        	        	   0.230	        	J0020-1121 	20.00	
00 21 09.8	-19 10 42	B0018-194 	OB-131 	00 18 38.1	-19 27 21	X   	      	   7.000	        	   2.720	        	   1.100	   0.690	   0.380	J0021-1910 	20.00	
00 21 05.6	-41 16 18	B0018-415 	       	00 18 36.9	-41 32 57	Xs  	      	        	        	   1.090	        	        	   0.170	   0.120	J0021-4116 	20.00	
00 22 32.4	+06 08 04	B0019+058 	OB034  	00 19 58.0	+05 51 26	QC  	      	        	        	        	        	        	   0.480	   0.540	J0022+0607 	 0.02	
00 22 25.5	+00 14 56	B0019-000 	4C00.02	00 19 51.7	-00 01 42	G   	      	   5.000	        	   2.990	   3.100	   2.800	   1.940	   1.080	J0022+0014 	 0.15	
00 22 25.1	-07 02 37	B0019-073 	OB-033 	00 19 52.1	-07 19 15	Xs  	      	        	        	   1.830	        	        	   0.250	   0.140	J0022-0702 	20.00	
00 22 11.2	-10 41 22	B0019-109 	       	00 19 38.6	-10 58 00	Xs  	      	        	        	   1.130	        	        	   0.210	        	J0022-1041 	20.00	
00 21 37.6	-33 33 56	B0019-338 	       	00 19 07.8	-33 50 35	Xs  	      	        	        	        	        	        	   0.210	        	J0021-3333 	20.00	
00 22 20.9	-33 40 16	B0019-339 	       	00 19 51.3	-33 56 54	E   	      	        	        	        	        	        	   0.180	        	J0022-3340 	20.00	
00 21 28.8	-46 57 28	B0019-472 	       	00 19 01.4	-47 14 07	X   	      	        	        	   1.820	        	        	   0.270	   0.140	J0021-4657 	20.00	
00 22 06.2	-53 51 57	B0019-541 	       	00 19 40.8	-54 08 35	Xs  	      	        	        	        	        	        	   0.210	        	J0022-5351 	20.00	
00 23 18.9	-07 44 46	B0020-080 	OB-035 	00 20 46.0	-08 01 24	G   	      	   8.000	        	   2.600	        	   0.800	   0.420	   0.230	J0023-0744 	20.00	
00 23 08.6	-25 02 40	B0020-253 	00-27  	00 20 37.8	-25 19 18	G   	      	  17.000	        	   5.360	        	   2.400	   1.380	   0.770	J0023-2502 	20.00	
00 22 41.4	-37 36 48	B0020-378 	       	00 20 12.5	-37 53 26	Xs  	      	        	        	        	        	        	   0.120	        	J0022-3736 	20.00	
00 22 52.8	-43 51 45	B0020-441 	       	00 20 25.1	-44 08 23	Xs  	      	        	        	   0.760	        	        	   0.210	   0.150	J0022-4351 	20.00	
00 22 31.8	-51 53 09	B0020-521 	       	00 20 06.0	-52 09 47	X   	      	        	        	        	        	        	   0.260	   0.200	J0022-5153 	20.00	
00 23 14.3	-65 06 30	B0020-653 	       	00 20 54.5	-65 23 08	Xs  	      	        	        	        	        	        	   0.220	        	J0023-6506 	20.00	
00 22 12.3	-74 28 00	B0020-747 	       	00 20 00.9	-74 44 38	E   	      	        	        	   2.090	        	   1.000	   0.530	   0.260	J0022-7427 	20.00	
00 23 36.7	-02 53 05	B0021-031 	4C-3.01	00 21 03.3	-03 09 43	Xs  	      	        	   2.200	   0.860	        	        	   0.260	   0.160	J0023-0253 	20.00	
00 23 59.5	-67 52 24	B0021-681 	       	00 21 42.2	-68 09 02	Xs  	      	        	        	   2.120	        	   0.700	   0.310	   0.120	J0023-6752 	20.00	
00 24 09.2	-68 20 35	B0021-686 	       	00 21 52.4	-68 37 13	X   	      	        	        	   1.970	        	        	   0.610	   0.380	J0024-6820 	20.00	
00 23 48.0	-73 55 29	B0021-742 	0022-74	00 21 37.4	-74 12 07	Xs+ 	      	        	        	   1.160	        	   0.600	   0.250	   0.110	J0023-7355 	20.00	
00 24 46.0	-04 12 00	B0022-044 	       	00 22 12.8	-04 28 37	Q?  	      	        	        	        	        	        	   0.290	   0.390	J0024-0412 	10.00	
00 24 49.2	-20 42 59	B0022-209 	OB-237 	00 22 18.0	-20 59 36	N   	      	        	        	   1.190	        	        	   0.230	   0.130	J0024-2042 	20.00	
00 24 30.1	-29 28 54	B0022-297 	       	00 22 00.2	-29 45 31	Q   	      	  28.000	        	   7.830	        	   2.600	   1.630	   1.000	J0024-2928 	 1.00	
00 25 25.7	-37 20 22	B0022-376 	       	00 22 57.3	-37 36 59	Xg  	      	        	        	        	        	        	   0.150	        	J0025-3720 	20.00	
00 24 43.0	-42 02 04	B0022-423 	       	00 22 15.4	-42 18 41	G?  	 0.661	        	        	   0.830	        	   3.020	   2.840	   1.770	J0024-4202 	 0.15	wp85
00 25 15.7	-60 28 29	B0022-607 	       	00 22 54.4	-60 45 06	Xg  	      	        	        	   3.830	        	   1.400	   0.740	   0.370	J0025-6028 	20.00	
00 24 41.7	-69 03 54	B0022-693 	       	00 22 26.0	-69 20 31	Xg  	      	        	        	        	        	        	   0.120	        	J0024-6903 	20.00	
00 23 49.2	-82 53 15	B0022-831 	       	00 22 10.1	-83 09 53	G   	      	        	        	   0.840	        	        	   0.150	        	J0023-8253 	20.00	
00 26 02.7	-12 47 36	B0023-130 	       	00 23 30.6	-13 04 13	Xs  	      	   7.000	        	   2.260	        	   1.300	   0.580	   0.280	J0026-1247 	20.00	
00 26 14.4	-20 05 04	B0023-203 	00-211 	00 23 43.3	-20 21 40	Xs  	      	  11.000	        	   3.430	        	   1.000	   0.640	   0.350	J0026-2005 	20.00	
00 25 49.1	-26 02 12	B0023-263 	OB-238 	00 23 18.9	-26 18 49	G   	 0.398	  20.000	        	  17.000	        	   8.600	   5.800	   3.760	J0025-2602 	 0.15	wp85
00 25 32.0	-33 03 08	B0023-333 	00-38  	00 23 02.9	-33 19 45	E   	 0.050	  17.000	        	   4.090	        	   1.700	   0.730	   0.410	J0025-3303 	20.00	
00 25 51.2	-55 36 01	B0023-558 	       	00 23 28.0	-55 52 38	Xg  	      	        	        	        	        	        	   0.120	        	J0025-5536 	20.00	
00 26 01.7	-58 35 03	B0023-588 	       	00 23 39.8	-58 51 40	Xs  	      	        	        	   1.240	        	        	   0.230	        	J0026-5835 	20.00	
00 26 32.6	-08 42 34	B0024-089 	OB-039 	00 24 00.0	-08 59 10	Q?  	      	        	        	   1.250	        	        	   0.290	   0.160	J0026-0842 	20.00	
00 27 19.7	-33 45 43	B0024-340 	       	00 24 51.0	-34 02 19	Xg  	      	        	        	        	        	        	   0.150	        	J0027-3345 	20.00	
00 27 02.4	-36 55 58	B0024-372 	       	00 24 34.3	-37 12 34	Xs  	      	   8.000	        	   2.420	        	        	   0.410	   0.150	J0027-3655 	20.00	
00 26 41.4	-49 18 45	B0024-495 	       	00 24 16.3	-49 35 21	Q?  	      	        	        	   2.800	        	        	   0.660	   0.450	J0026-4918 	 1.00	
00 28 33.5	+00 54 45	B0025+006 	4C00.03	00 25 59.6	+00 38 10	Xs  	      	        	   2.200	   0.850	        	        	   0.120	        	J0028+0054 	20.00	
00 28 26.8	+21 17 24	B0025+210 	4C20.02	00 25 50.0	+21 00 49	Xs  	      	  12.000	   4.800	        	   2.500	   0.900	   0.600	   0.370	J0028+2117 	20.00	
01 35 19.7	-33 01 34	B0133-332 	       	01 33 03.4	-33 16 53	Xs  	      	        	        	        	        	        	   0.120	        	J0135-3301 	20.00	
00 28 29.3	-00 26 23	B0025-007 	4C-0.02	00 25 55.6	-00 42 58	Xs  	      	   9.000	   3.400	   2.520	   1.700	   0.870	   0.630	   0.290	J0028-0026 	20.00	
00 27 53.5	-20 07 33	B0025-204 	       	00 25 22.6	-20 24 09	X   	      	        	        	   1.030	        	        	   0.250	   0.160	J0027-2007 	20.00	
00 27 31.6	-27 31 32	B0025-278 	OB-242 	00 25 01.8	-27 48 08	Xs  	      	        	        	   1.290	        	        	   0.230	        	J0027-2731 	20.00	
00 28 27.8	-29 35 32	B0025-298 	OB-243 	00 25 58.6	-29 52 07	Xs  	      	        	        	   0.850	        	        	   0.260	   0.080	J0028-2935 	20.00	
00 27 43.3	-54 10 26	B0025-544 	       	00 25 20.3	-54 27 02	Xg  	      	        	        	   0.810	        	        	        	   0.230	J0027-5410 	20.00	
00 29 03.2	-01 13 07	B0026-014 	       	00 26 29.6	-01 29 42	Xs  	      	        	        	        	        	   0.200	   0.300	   0.260	J0029-0113 	20.00	
00 29 22.6	-11 11 50	B0026-114 	       	00 26 50.5	-11 28 25	Xs  	      	        	        	   2.240	        	        	   0.370	   0.210	J0029-1111 	20.00	
00 28 50.1	-41 57 46	B0026-422 	       	00 26 23.6	-42 14 21	Xg  	      	        	        	   1.570	        	        	   0.230	   0.140	J0028-4157 	20.00	
00 28 39.7	-46 05 45	B0026-463 	       	00 26 14.3	-46 22 20	X   	      	        	        	   1.200	        	        	   0.330	   0.240	J0028-4605 	20.00	
00 28 43.7	-70 44 26	B0026-710 	       	00 26 33.1	-71 01 01	Xg  	      	        	        	        	        	        	   0.220	        	J0028-7044 	20.00	
00 29 45.9	+05 54 41	B0027+056 	       	00 27 11.3	+05 38 06	Q?  	      	        	        	        	        	        	   0.390	   0.500	J0029+0554 	20.00	
00 30 32.3	-02 11 59	B0027-024 	       	00 27 58.9	-02 28 33	Xs  	      	        	        	        	        	        	   0.220	   0.180	J0030-0211 	20.00	
00 30 00.0	-11 44 18	B0027-120 	00-112 	00 27 28.0	-12 00 52	Xs  	      	   7.000	        	   2.430	        	   0.800	   0.440	   0.250	J0030-1144 	20.00	
00 30 17.8	-42 24 51	B0027-426 	       	00 27 51.8	-42 41 25	Q   	      	        	        	        	        	        	   0.420	   0.430	J0030-4224 	 1.00	
00 29 28.0	-69 34 24	B0027-698 	       	00 27 16.6	-69 50 59	Xs  	      	        	        	   0.950	        	        	   0.220	        	J0029-6934 	20.00	
00 29 11.3	-75 40 26	B0027-759 	       	00 27 09.9	-75 57 01	Xs  	      	        	        	        	        	        	   0.130	        	J0029-7540 	20.00	
00 31 32.9	-01 00 36	B0028-012 	4C-1.02	00 28 59.3	-01 17 10	G   	      	   9.000	   3.400	   2.550	   1.700	   0.800	   0.600	   0.330	J0031-0100 	20.00	
00 31 03.2	-09 12 12	B0028-094 	       	00 28 30.9	-09 28 46	Xs  	      	        	        	   0.970	        	        	   0.180	        	J0031-0912 	20.00	
00 31 02.3	-22 07 09	B0028-223 	       	00 28 32.1	-22 23 43	E   	      	        	        	   1.180	        	        	   0.250	   0.170	J0031-2207 	10.00	
00 31 05.3	-35 47 08	B0028-360 	       	00 28 37.8	-36 03 42	*   	      	        	        	   0.990	        	        	   0.200	        	J0031-3547 	20.00	
00 31 22.3	-39 22 57	B0028-396 	       	00 28 55.8	-39 39 31	Xs  	      	        	        	        	        	        	   0.190	   0.190	J0031-3922 	20.00	
00 30 38.2	-50 18 37	B0028-505 	       	00 28 14.8	-50 35 11	G   	      	        	        	   2.160	        	        	   0.600	   0.280	J0030-5018 	20.00	
00 30 33.1	-51 03 23	B0028-513 	       	00 28 10.0	-51 19 57	X   	      	        	        	        	        	        	   0.410	   0.250	J0030-5103 	20.00	
00 30 31.6	-54 37 40	B0028-549 	       	00 28 09.9	-54 54 14	Q?  	      	        	        	   2.270	        	        	   0.360	   0.190	J0030-5437 	20.00	
00 31 03.1	-55 19 52	B0028-556 	       	00 28 42.0	-55 36 26	Xg  	      	        	        	        	        	        	   0.140	        	J0031-5519 	20.00	
00 32 08.5	+01 37 22	B0029+013 	       	00 29 34.5	+01 20 49	X   	      	   3.000	        	   1.880	   1.300	   0.500	   0.340	   0.140	J0032+0137 	20.00	
00 31 47.7	+21 53 55	B0029+216 	4C21.03	00 29 10.4	+21 37 22	Xs  	      	   9.000	   3.900	        	   1.800	   0.800	   0.420	   0.260	J0031+2153 	20.00	
00 32 16.0	-03 49 04	B0029-040 	OB-050 	00 29 42.9	-04 05 37	E   	      	        	        	   1.930	        	        	   0.340	   0.180	J0032-0349 	20.00	
00 32 01.4	-08 51 39	B0029-091 	OB-049 	00 29 29.1	-09 08 12	X   	      	        	        	   1.560	        	        	   0.330	   0.230	J0032-0851 	20.00	
00 31 56.2	-14 25 46	B0029-147 	       	00 29 24.8	-14 42 19	Xs  	      	        	        	        	        	        	   0.240	        	J0031-1425 	20.00	
00 31 49.6	-15 13 15	B0029-154 	       	00 29 18.3	-15 29 48	Xg  	      	        	        	        	        	        	   0.190	        	J0031-1513 	20.00	
00 32 19.7	-24 05 01	B0029-243 	OB-250 	00 29 50.0	-24 21 34	X   	      	        	        	   1.960	        	        	   0.250	   0.130	J0032-2405 	20.00	
00 31 30.5	-32 59 54	B0029-332 	       	00 29 02.5	-33 16 28	X   	      	        	        	   1.530	        	        	   0.360	   0.240	J0031-3259 	20.00	
00 32 27.2	-33 12 03	B0029-334 	       	00 29 59.4	-33 28 36	Xs  	      	        	        	        	        	        	   0.120	        	J0032-3312 	20.00	
00 32 06.4	-38 27 13	B0029-387 	       	00 29 39.8	-38 43 46	Xs  	      	        	        	   0.730	        	        	   0.100	        	J0032-3827 	20.00	
00 31 27.3	-41 08 05	B0029-414 	       	00 29 01.3	-41 24 39	Q   	 0.898	        	        	        	        	        	   0.230	   0.210	J0031-4108 	20.00	jwp78b
00 32 17.8	-58 39 57	B0029-589 	       	00 29 59.0	-58 56 30	Xs  	      	        	        	        	        	        	   0.140	        	J0032-5839 	20.00	
00 31 47.8	-70 34 52	B0029-708 	       	00 29 39.6	-70 51 26	Xs  	      	        	        	        	        	        	   0.160	        	J0031-7034 	20.00	
00 33 14.1	+06 28 40	B0030+062 	4C06.02	00 30 39.3	+06 12 07	Xs  	      	  12.000	   4.700	   3.090	        	   1.000	   0.380	   0.190	J0033+0628 	20.00	
00 32 38.2	+19 54 07	B0030+196 	4C19.03	00 30 01.2	+19 37 34	D   	      	   7.000	   3.700	   3.100	        	   1.900	   1.100	   0.820	J0032+1954 	20.00	
00 33 21.6	-09 05 59	B0030-093 	       	00 30 49.4	-09 22 32	Xs  	      	        	        	        	        	        	   0.170	        	J0033-0905 	20.00	
00 32 49.0	-29 31 48	B0030-298 	OB-2506	00 30 20.5	-29 48 21	X   	      	        	        	   1.630	        	        	   0.340	   0.150	J0032-2931 	20.00	
00 32 59.6	-33 45 03	B0030-340 	       	00 30 32.0	-34 01 36	*   	      	        	        	        	        	        	   0.280	   0.150	J0032-3345 	10.00	
00 33 16.7	-48 19 25	B0030-485 	       	00 30 53.5	-48 35 58	Xs  	      	        	        	   1.120	        	        	   0.340	   0.170	J0033-4819 	20.00	
00 32 26.8	-54 55 16	B0030-551 	       	00 30 06.0	-55 11 49	Xs  	      	        	        	   1.620	        	        	   0.320	   0.130	J0032-5455 	20.00	
00 34 19.7	+01 18 53	B0031+010 	4C00.04	00 31 45.7	+01 02 21	Xs  	      	  14.000	   4.400	   2.150	   2.200	   0.550	   0.420	   0.210	J0034+0118 	20.00	
00 33 39.2	+02 44 13	B0031+024 	4C02.01	00 31 05.0	+02 27 41	Xs  	      	        	   2.700	   1.380	        	        	   0.120	        	J0033+0244 	20.00	
00 33 54.5	-07 30 08	B0031-077 	OB-052 	00 31 22.0	-07 46 40	Xs  	      	  17.000	        	   3.190	        	   1.100	   0.570	   0.350	J0033-0730 	20.00	
00 34 24.4	-17 59 26	B0031-182 	OB-153 	00 31 53.8	-18 15 58	Xg  	      	   6.000	        	   1.860	        	   0.400	   0.350	   0.230	J0034-1759 	20.00	
00 33 54.4	-34 16 55	B0031-345 	       	00 31 27.1	-34 33 27	Xs  	      	        	        	        	        	        	   0.140	        	J0033-3416 	20.00	
